City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
311,Kulebaki,RU,55.4133,42.5325,58.8,96,100,8.48,light rain
312,Tshikapa,CD,-6.4167,20.8,93.4,20,21,4.05,few clouds
313,Cabatuan,PH,10.8794,122.486,77.34,92,100,5.97,overcast clouds
314,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,91.87,21,19,8.43,few clouds
315,Sombrerete,MX,23.6333,-103.65,74.77,35,2,2.17,clear sky
316,Tongchuan,CN,35.0806,109.0897,72.34,78,98,4.85,heavy intensity rain
317,Muisne,EC,0.6,-80.0333,74.71,80,100,10.49,overcast clouds
318,Paranaiba,BR,-19.6772,-51.1908,88.38,22,25,12.21,scattered clouds
319,Chokwe,MZ,-24.5333,32.9833,73.69,55,17,5.55,few clouds
320,Champerico,GT,14.3,-91.9167,88.34,75,100,2.13,overcast clouds
321,Lasa,IT,46.6166,10.7002,89.69,63,52,2.59,broken clouds
322,Grindavik,IS,63.8424,-22.4338,54.07,94,75,9.22,light intensity drizzle
323,Canon City,US,38.441,-105.2424,85.14,39,0,4.0,clear sky
324,Oudtshoorn,ZA,-33.5907,22.2014,53.96,57,1,0.69,clear sky
325,Saint-Francois,FR,46.4154,3.9054,83.68,42,0,8.05,clear sky
326,Hofn,IS,64.2539,-15.2082,55.42,76,100,6.91,overcast clouds
327,Ulagan,RU,50.6321,87.9563,49.96,93,67,3.78,broken clouds
328,Mackay,AU,-21.15,149.2,62.69,90,100,12.26,overcast clouds
329,Tsiroanomandidy,MG,-18.7667,46.0333,64.02,52,0,9.98,clear sky
330,Monte Patria,CL,-30.6919,-70.9467,65.59,49,0,2.04,clear sky
331,Ahipara,NZ,-35.1667,173.1667,54.9,82,90,9.48,overcast clouds
332,Lebork,PL,54.5392,17.7501,95.92,30,50,6.64,scattered clouds
333,Sao Filipe,CV,14.8961,-24.4956,75.63,87,69,7.11,broken clouds
334,Menongue,AO,-14.6585,17.691,75.99,20,5,3.49,clear sky
335,Carnarvon,AU,-24.8667,113.6333,66.76,63,85,15.3,overcast clouds
336,Tabou,CI,4.423,-7.3528,77.7,66,78,7.74,broken clouds
337,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,71,22,8.66,few clouds
338,Normandin,CA,48.8333,-72.5321,80.91,83,100,14.97,overcast clouds
339,Pudozh,RU,61.8099,36.5345,77.09,55,22,1.77,few clouds
340,Marzuq,YE,14.4,46.4667,79.84,58,5,11.1,clear sky
341,Murmashi,RU,68.8154,32.8115,73.42,60,0,1.99,clear sky
342,Oistins,BB,13.0667,-59.5333,87.89,66,75,27.63,broken clouds
343,Dwarka,IN,22.2394,68.9678,83.08,81,98,18.52,overcast clouds
344,Port Moresby,PG,-9.4431,147.1797,76.19,90,95,5.08,overcast clouds
